Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,osm_id,highway,waterway,covered,depth_isempty,depth,blockage,aerialway,barrier,man_made,width_isempty,width,height,maxheight,layer_isempty,layer,sidewalk,tunnel,bridge,other_tags
United Nations Road,,,,,,-1,-1,-1,,,5086074,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""surface""=>""paved"""
,,,,,,-1,-1,-1,,,14957162,,,,1,-1,,,,,1,-1,,,1,-1,,,,"""natural""=>""coastline"""
,,,,,,-1,-1,-1,,,15476225,,,,1,-1,,,,,1,-1,,,1,-1,,,,"""natural""=>""coastline"""
,,,,,,-1,-1,-1,,,15649942,,,,1,-1,,,,,1,-1,,,1,-1,,,,"""natural""=>""coastline"""
Kaunda Drive,,,,,,-1,-1,-1,,,23319731,tertiary,,,1,-1,,,,,0,15,,,1,-1,,,,"""oneway""=>""no"",""smoothness""=>""good"",""surface""=>""asphalt"""
,,,,,,-1,-1,-1,,,23321336,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""lanes""=>""2"",""surface""=>""asphalt"""
,,,,,,-1,-1,-1,,,23321368,,,,1,-1,,,,,1,-1,,,1,-1,,,,"""cutting""=>""yes"",""electrified""=>""no"",""gauge""=>""1000"",""railway""=>""rail"",""usage""=>""main"""
Kawawa Road,,,,,,-1,-1,-1,,,23326712,primary,,,1,-1,,,,,0,10,,,1,-1,,,,"""oneway""=>""yes"",""surface""=>""asphalt"",""smoothness""=>""good"""
Gerezani Street,,,,,,-1,-1,-1,,,23326733,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23326740,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""junction""=>""roundabout"""
,,,,,,-1,-1,-1,,,23326742,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
,,,,,,-1,-1,-1,,,23326753,secondary_link,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
,,,,,,-1,-1,-1,,,23326755,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
